Super built-up Area,availability,location,size_BHK,society,total_sqft,bath,balcony,price
Super built-up Area,Ready to move,Hennur Road,2,Gaodsch,1182,2,2,82
Super built-up Area,Ready to move,Tumkur Road,3,SosonGa,1500,3,3,100
Super built-up Area,Ready to move,Hebbal Kempapura,4,GonumPl,3900,5,1,360
Super built-up Area,Ready to move,Marathahalli,2,Srconor,1200,2,2,58
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,1,48
Super built-up Area,Ready to move,Malleshwaram,3,Sariaat,2215,Unknown Society,1,293
Built-up Area,Ready to move,Jayanagar,2,Unknown Society,900,2,2,110
Built-up Area,Ready to move,Amruthahalli,2,NCondia,1100,2,1,45
Super built-up Area,Ready to move,Kengeri Satellite Town,2,Mameser,635,1,1,22
Super built-up Area,Ready to move,Ardendale,4,AWharde,2062,3,1,140
Built-up Area,Ready to move,Thanisandra,3,G conTh,1874,4,1,130
Plot Area,Ready to move,Vidyaranyapura,4,Unknown Society,600,3,2,78
Super built-up Area,Ready to move,Old Madras Road,2,Saesttt,1171,2,2,75
Super built-up Area,Ready to move,Sarjapur,3,Unknown Society,2020,3,3,85
Super built-up Area,Ready to move,8th Phase JP Nagar,2,Unknown Society,1059,2,2,34
Super built-up Area,Ready to move,Panathur,3,Saite G,1315,2,1,59
Super built-up Area,Ready to move,Jakkur,3,BrdgeNo,1760,3,2,110
Built-up Area,Ready to move,Sampangi Rama Nagar,2,Unknown Society,1200,2,1,125
Super built-up Area,Ready to move,Hennur Road,3,Koagati,1192,2,1,62
Super built-up Area,Ready to move,Hebbal,3,Raard B,1645,3,2,121
Super built-up Area,Ready to move,Whitefield,2,Veales,1250,2,2,72
Super built-up Area,Ready to move,Whitefield,1,Oreldhi,524,1,0,34
Super built-up Area,Ready to move,Whitefield,2,Unknown Society,1340,2,1,77
Built-up Area,Ready to move,Cooke Town,3,Unknown Society,2388,4,3,239
Super built-up Area,Ready to move,Hosa Road,2,Sosisic,1369.1,2,1,104
Super built-up Area,Ready to move,Jalahalli West,2,Unknown Society,1355,2,3,75
Built-up Area,Ready to move,Bannerghatta Road,2,Unknown Society,1150,2,2,65
Super built-up Area,Ready to move,Kanakapura,3,GoityEt,1938,3,3,113
Super built-up Area,Ready to move,Begur Road,4,Unknown Society,2462,4,3,124
Super built-up Area,Ready to move,Budigere,3,PrityTr,1636,3,2,85
Super built-up Area,Ready to move,Akshaya Nagar,3,DLhtsnd,1430,2,2,75
Super built-up Area,Ready to move,BEML Layout 5th stage,3,Unknown Society,2000,3,2,85
Carpet Area,Ready to move,Electronic City Phase II,3,MJtroty,993,2,2,50
Plot Area,Ready to move,Laggere,4,Unknown Society,1260,4,1,150
Super built-up Area,Ready to move,Kanakpura Road,3,Unknown Society,1700,3,3,88
Super built-up Area,Ready to move,Yelahanka,2,Shana S,1270,2,2,78
Plot Area,Ready to move,Anjanapura,3,Unknown Society,1500,3,1,121
Built-up Area,Ready to move,Koramangala,3,Unknown Society,2300,3,3,290
Plot Area,Ready to move,Hunasamaranahalli,4,EmardBo,7500,4,2,900
Super built-up Area,Ready to move,Marathahalli,3,Unknown Society,1650,3,3,86
Super built-up Area,Ready to move,Panathur,2,Suriaa,1109,2,1,63
Super built-up Area,Ready to move,Pragathi Nagar,2,Metrais,1280,2,1,49
Built-up Area,Ready to move,Sarjapur,4,Unknown Society,2885,3,1,185
Plot Area,Ready to move,Banashankari,9,Unknown Society,1200,9,1,145
Plot Area,Ready to move,Devanahalli,3,Prowser,1600,3,2,180
Super built-up Area,Ready to move,Kothanur,3,Unknown Society,1462,3,3,71
Super built-up Area,Ready to move,Marathahalli,1,Unezes,607,1,1,35
Super built-up Area,Ready to move,Kammasandra,2,Unknown Society,930,2,0,25
Plot Area,Ready to move,Varthur,4,Unknown Society,4500,5,2,300
Plot Area,Ready to move,Sahakara Nagar,5,Unknown Society,1200,5,1,160
Super built-up Area,Ready to move,Malleshwaram,3,Unknown Society,2600,3,1,237
Super built-up Area,Ready to move,JP Nagar,4,Unknown Society,3000,4,2,140
Super built-up Area,Ready to move,Electronic City Phase II,3,Coomee,1418,3,2,52
Built-up Area,Ready to move,Ramesh Nagar,2,Unknown Society,4200,1,2,160
Built-up Area,Ready to move,EPIP Zone,2,ValiaCa,1125,2,1,65
Super built-up Area,Ready to move,CV Raman Nagar,3,Pu270a,1825,3,2,126
Super built-up Area,Ready to move,Whitefield,2,Veales,1320,2,3,79
Built-up Area,Ready to move,JP Nagar,4,Unknown Society,3000,4,2,140
Super built-up Area,Ready to move,HAL 2nd Stage,3,MamalPr,1490,2,2,300
Plot Area,Ready to move,8th block Koramangala,4,Unknown Society,1650,3,1,300
Super built-up Area,Ready to move,Whitefield,2,Oreldhi,750,2,1,52
Super built-up Area,Ready to move,Yelahanka,3,Masser,1400,2,2,80
Super built-up Area,Ready to move,Sathya Sai Layout,4,Prowshi,4104,4,3,360
Built-up Area,Ready to move,Rajaji Nagar,4,Unknown Society,5000,4,0,375
Plot Area,Ready to move,Mahadevpura,5,Unknown Society,3295,4,2,260
Plot Area,Ready to move,A Narayanapura,4,Unknown Society,1150,3,1,110
Plot Area,Ready to move,Whitefield,3,Unknown Society,1200,3,1,61
Built-up Area,Ready to move,Poorna Pragna Layout,2,Pathira,965,2,2,48
Plot Area,Ready to move,Gottigere,1,Unknown Society,812,1,1,26
Super built-up Area,Ready to move,KR Puram,2,HovasTe,1100,2,2,43
Super built-up Area,Ready to move,Whitefield,2,SSthamh,1180,2,2,41
Super built-up Area,Ready to move,HSR Layout,2,NRosete,1145,2,2,48
Super built-up Area,Ready to move,Haralur Road,2,Unknown Society,1027,2,1,44
Super built-up Area,Ready to move,Silk Board,2,Unknown Society,1215,2,2,49
Plot Area,Ready to move,Hegde Nagar,2,Unknown Society,1200,2,0,75
Super built-up Area,Ready to move,Kenchenahalli,2,AriosPa,1015,2,2,58
Plot Area,Ready to move,Kaggalipura,3,AxvamTa,2400,3,1,165
Plot Area,Ready to move,Whitefield,4,Prrry M,3000,4,3,306
Built-up Area,Ready to move,7th Phase JP Nagar,3,Unknown Society,3300,4,3,160
Super built-up Area,Ready to move,Puttanahalli,2,Unknown Society,1076,2,2,52
Super built-up Area,Ready to move,JP Nagar,2,Shestut,1300,2,1,109
Built-up Area,Ready to move,Hebbal Kempapura,2,Goateds,1300,2,2,102
Super built-up Area,Ready to move,Hosa Road,3,Sosisic,1512,3,1,123
Carpet Area,Ready to move,Bhoganhalli,3,Rosha I,1053.4,3,1,88
Super built-up Area,Ready to move,Yeshwanthpur,1,VSlistr,540,1,0,41
Super built-up Area,Ready to move,Hormavu,2,NStusD,1153,2,1,65
Plot Area,Ready to move,Virat Nagar,2,Unknown Society,2080,2,1,150
Super built-up Area,Ready to move,Hulimavu,2,RatosAr,1255,2,2,69
Built-up Area,Ready to move,Bannerghatta Road,4,Unknown Society,315Sq. Yards,5,1,260
Super built-up Area,Ready to move,Marathahalli,3,PueraRi,1583,3,3,109
Super built-up Area,Ready to move,Kundalahalli Colony,2,Goourta,1505,2,2,90
Super built-up Area,Ready to move,Kathriguppe,3,Unknown Society,1365,2,2,75
Plot Area,Ready to move,Dwarka Nagar,3,Unknown Society,1200,3,3,95
Super built-up Area,Ready to move,Amblipura,3,IDldsin,1810,4,3,148
Built-up Area,Ready to move,Magadi Road,1,Unknown Society,440,1,0,35
Super built-up Area,Ready to move,Subramanyapura,2,Mayne A,975,2,1,63
Super built-up Area,Ready to move,Doddagubbi,2,Unknown Society,1250,2,3,39
Super built-up Area,Ready to move,Gopalkrishna Nagar,3,MJarlPe,1530,2,1,97
Super built-up Area,Ready to move,Kereguddadahalli,3,DSdorSp,1300,2,2,39
Super built-up Area,Ready to move,Channasandra,2,Unknown Society,1115,2,1,40
Super built-up Area,Ready to move,Sarjapur Road,2,SJityaz,1308,2,1,83
Super built-up Area,Ready to move,Parappana Agrahara,2,Peide L,1194,2,2,47
Super built-up Area,Ready to move,Uttarahalli,3,Unknown Society,1490,2,2,59
Plot Area,Ready to move,Bannerghatta Road,4,Unknown Society,10000,4,0,450
Super built-up Area,Ready to move,Sarjapur Road,3,Brareio,1592,3,1,91
Super built-up Area,Ready to move,Rajaji Nagar,2,Puwerun,1222,2,0,112
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1267,2,2,42
Super built-up Area,Ready to move,Balagere,1,Soresea,656,1,1,53
Plot Area,Ready to move,Dodda Nekkundi,4,Adstah,3400,4,3,530
Built-up Area,Ready to move,Garudachar Palya,4,NatanNi,4500,5,1,400
Plot Area,Ready to move,Chandapura,2,Unknown Society,1200,1,1,36
Super built-up Area,Ready to move,Thanisandra,3,Soitya,1698,3,2,102
Built-up Area,Ready to move,Tata Nagar,3,Karchru,1500,3,2,70
Plot Area,Ready to move,Sunkadakatte,4,Unknown Society,2000,5,0,80
Super built-up Area,Ready to move,Electronic City,2,Prarkun,1152,2,1,65
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,1,Unknown Society,550,1,0,21
Super built-up Area,Ready to move,Pattandur Agrahara,2,ShaleSp,900,2,2,42
Super built-up Area,Ready to move,Rajarajeshwari nagar,3,Unknown Society,1410,2,2,45
Built-up Area,Ready to move,Akshaya Nagar,3,DLhtsnd,1419,2,3,73
Super built-up Area,Ready to move,Amruthahalli,2,Unknown Society,1200,2,1,55
Super built-up Area,Ready to move,AECS Layout,3,Unknown Society,1800,3,3,65
Super built-up Area,Ready to move,Gottigere,2,Drente,990,2,1,40
Super built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1016,2,1,45
Super built-up Area,Ready to move,Bannerghatta Road,2,Saavenc,1100,2,0,39
Built-up Area,Ready to move,Ramamurthy Nagar,4,Unknown Society,850,2,1,65
Super built-up Area,Ready to move,Whitefield,2,Rabow R,1095,2,1,35
Super built-up Area,Ready to move,Rajarajeshwarinagar,3,Unknown Society,2000,3,2,85
Super built-up Area,Ready to move,Budigere,2,PrityTr,1444,2,2,70
Super built-up Area,Ready to move,Whitefield,2,Nillsre,1415,2,3,67
Plot Area,Ready to move,Jinkethimmanahalli,3,Unknown Society,1500,2,1,130
Super built-up Area,Ready to move,Daadys Gaarden Layout,3,InockHo,1600,3,3,72
Super built-up Area,Ready to move,Whitefield,2,SMuilan,1105,2,1,41
Super built-up Area,Ready to move,Electronic City,3,S2oveat,1225,3,0,45
Super built-up Area,Ready to move,Frazer Town,3,Prook M,2560,3,2,265
Super built-up Area,Ready to move,Kanakpura Road,2,Unknown Society,1080,2,1,37
Plot Area,Ready to move,Dasarahalli,7,Unknown Society,2400,3,3,150
Super built-up Area,Ready to move,Talaghattapura,3,Sodgere,1856,3,2,135
Super built-up Area,Ready to move,Haralur Road,3,NRowse,1464,3,2,56
Plot Area,Ready to move,Vishwapriya Nagar,6,Unknown Society,2100,6,2,71
Super built-up Area,Ready to move,Sarjapur Road,2,Itvas S,1150,2,2,77
Plot Area,Ready to move,Abbigere,5,Unknown Society,1200,4,1,98
Super built-up Area,Ready to move,Whitefield,3,Prtates,1650,Unknown Society,1,113
Super built-up Area,Ready to move,5th Phase JP Nagar,3,MBncele,1485,2,2,67
Super built-up Area,Ready to move,Vimanapura,3,Inion P,2500,3,3,75
Plot Area,Ready to move,Whitefield,2,Unknown Society,1200,2,1,45
Super built-up Area,Ready to move,Hennur Road,2,Koagati,1036,2,1,59
Plot Area,Ready to move,Whitefield,4,VDe 1Du,3445,5,3,270
Super built-up Area,Ready to move,Dodsworth Layout,2,Ciques,1400,2,2,80
Super built-up Area,Ready to move,Bommanahalli,2,Unknown Society,1110,2,2,33
Built-up Area,Ready to move,Kodichikkanahalli,2,Saire S,1150,2,3,48
Super built-up Area,Ready to move,Kenchenahalli,1,AriosPa,715,1,1,45
Plot Area,Ready to move,Magadi Road,4,Unknown Society,1200,4,0,130
Plot Area,Ready to move,Rajaji Nagar,5,Unknown Society,1200,3,1,260
Super built-up Area,Ready to move,Jakkur,4,UNERA P,2283,4,2,130
Plot Area,Ready to move,1st Stage Radha Krishna Layout,6,Unknown Society,1790,5,1,250
Super built-up Area,Ready to move,Hormavu,3,Unknown Society,1453,2,2,43
Built-up Area,Ready to move,Nagarbhavi,3,Vaows M,1400,2,1,85
Super built-up Area,Ready to move,Padmanabhanagar,3,Naasyak,1400,3,0,65
Super built-up Area,Ready to move,Whitefield,3,Mithmn,1700,3,1,140
Super built-up Area,Ready to move,Kanakpura Road,3,PrityFa,1591,3,1,120
Super built-up Area,Ready to move,Nagarbhavi,3,Deens G,1515,2,1,79
Built-up Area,Ready to move,Marathahalli,5,Unknown Society,2500,3,3,200
Super built-up Area,Ready to move,Chandapura,2,SunceEs,975,2,1,24
Super built-up Area,Ready to move,Yeshwanthpur,3,IBityin,1382,2,2,76
Plot Area,Ready to move,Nagasandra,7,Unknown Society,1750,5,2,350
Super built-up Area,Ready to move,Sector 1 HSR Layout,3,SodilDa,1533,3,2,150
Super built-up Area,Ready to move,Cunningham Road,3,Lelia M,3815,3,1,763
Super built-up Area,Ready to move,Amarjyothi Colony,2,Unknown Society,1100,2,2,38
Super built-up Area,Ready to move,Dairy Circle,4,Soeurri,3730,6,2,450
Super built-up Area,Ready to move,Banashankari Stage II,3,Unknown Society,1500,2,1,120
Super built-up Area,Ready to move,Yelahanka,3,Rarthne,1391,2,2,64
Super built-up Area,Ready to move,Begur Road,2,Dhalsh,1160,2,2,42
Built-up Area,Ready to move,Chandapura,1,Unknown Society,620,1,1,27
Plot Area,Ready to move,MS Pallya,8,Unknown Society,2400,9,3,350
Plot Area,Ready to move,Vidyaranyapura,8,Unknown Society,1200,7,3,130
Built-up Area,Ready to move,Whitefield,4,Unknown Society,4827,4,3,400
Super built-up Area,Ready to move,Kanakpura Road,3,JRrnauv,1482,3,3,60
Super built-up Area,Ready to move,Whitefield,2,SBoneuc,1405,2,2,84
Built-up Area,Ready to move,Gunjur,2,Puide P,1190,2,2,40
Super built-up Area,Ready to move,Harlur,2,Prncyrn,1174,2,1,78
Plot Area,Ready to move,Seegehalli,2,Unknown Society,1155,2,0,72
Super built-up Area,Ready to move,Thanisandra,3,Bhe 2ko,1411,3,1,93
Super built-up Area,Ready to move,Jalahalli West,2,Prntsax,745,2,0,50
Super built-up Area,Ready to move,Kereguddadahalli,2,Jaood G,1000,2,2,30
Super built-up Area,Ready to move,Jigani,2,DLhtsen,923,2,1,50
Built-up Area,Ready to move,Yeshwanthpur,2,IBityin,1000,2,2,32
Super built-up Area,Ready to move,Battarahalli,2,Srhamra,1276,2,2,45
Built-up Area,Ready to move,Devasthanagalu,3,Grmes L,1460,3,2,70
Super built-up Area,Ready to move,Yemlur,2,Unknown Society,1355,2,1,95
Super built-up Area,Ready to move,Avalahalli,1,ZeodsWo,833,1,1,49
Built-up Area,Ready to move,Bapuji Layout,8,Unknown Society,1200,8,1,275
Plot Area,Ready to move,Cambridge Layout,5,Unknown Society,1750,5,1,450
Super built-up Area,Ready to move,Ramamurthy Nagar,2,Vaharvi,1200,2,1,48
Super built-up Area,Ready to move,Yeshwanthpur,1,IBityin,669,1,1,36
Plot Area,Ready to move,7th Phase JP Nagar,3,Unknown Society,2200,4,2,105
Super built-up Area,Ready to move,Koramangala,3,SRidsrc,1594,3,1,125
Super built-up Area,Ready to move,Kothanur,3,Somumys,1790,3,2,105
Super built-up Area,Ready to move,NGR Layout,2,Unknown Society,1020,2,1,45
Plot Area,Ready to move,Doddanekundi,4,Unknown Society,3250,5,1,850
Super built-up Area,Ready to move,Vasantapura main road,2,Unknown Society,1037,2,1,36
Super built-up Area,Ready to move,Whitefield,3,SearkHy,1345,2,2,57
Super built-up Area,Ready to move,Kodichikkanahalli,2,Unknown Society,1070,2,3,43
Super built-up Area,Ready to move,Sector 6 HSR Layout,4,Unknown Society,3000,5,1,270
Super built-up Area,Ready to move,Yeshwanthpur,3,IBityin,1385,2,2,76
Super built-up Area,Ready to move,Kanakpura Road,2,Niacesa,1207,2,2,79
Super built-up Area,Ready to move,Varthur,2,Caiseur,1140,2,3,55
Built-up Area,Ready to move,Basavanapura,2,Papusa,1220,2,2,68
Plot Area,Ready to move,CQAL Layout,4,Unknown Society,3811,3,2,475
Super built-up Area,Ready to move,Iblur Village,4,Emine P,3596,5,0,252
Built-up Area,Ready to move,Sarjapur Road,3,Contsci,1965,3,3,120
Built-up Area,Ready to move,Koramangala,3,KHage G,1760,2,0,115
Super built-up Area,Ready to move,Haralur Road,2,SNnia E,1225,2,1,70
Super built-up Area,Ready to move,Marathahalli,2,Unknown Society,1075,2,2,52
Built-up Area,Ready to move,Panathur,2,Unknown Society,1000,2,1,68
Super built-up Area,Ready to move,Hennur Road,3,SaireSa,1891,3,1,109
Super built-up Area,Ready to move,Yelahanka,2,PuziaVe,1322,2,2,86
Plot Area,Ready to move,Mathikere,3,Unknown Society,1095,3,0,215
Built-up Area,Ready to move,Bellandur,4,Vaodssh,3600,4,0,260
Super built-up Area,Ready to move,AECS Layout,2,Foncync,1045,2,1,36
Super built-up Area,Ready to move,Venugopal Reddy Layout,3,Patust,1545,3,3,85
Super built-up Area,Ready to move,Thanisandra,3,G conTh,1996,3,2,135
Super built-up Area,Ready to move,Brookefield,2,Gotaten,1125,2,2,70
Super built-up Area,Ready to move,Mysore Road,3,PrntaEn,1560,3,1,115
Super built-up Area,Ready to move,BEML Layout,3,Unknown Society,2000,2,2,85
Built-up Area,Ready to move,Murugeshpalya,4,IBaveen,3100,4,2,310
Built-up Area,Ready to move,Lake City,2,Prdenth,780,2,1,35
Plot Area,Ready to move,Lakshmipura,2,Unknown Society,1350,2,1,110
Super built-up Area,Ready to move,Sarjapur Road,3,Adeatlm,2275,4,2,180
Super built-up Area,Ready to move,Pragathi Nagar,2,DStra S,1350,2,2,41
Super built-up Area,Ready to move,Haralur Road,3,NRowse,1464,3,3,56
Super built-up Area,Ready to move,Kanakpura Road,3,JRrnauv,1570,3,3,64
Super built-up Area,Ready to move,Dasanapura,1,Tavenew,708,1,0,28
Super built-up Area,Ready to move,Sarjapur Road,3,Mades G,1680,3,1,160
Super built-up Area,Ready to move,Hoodi,2,SMaxyay,1400,2,1,82
Super built-up Area,Ready to move,Bellandur,2,GoncyRe,1310,2,2,72
Built-up Area,Ready to move,BTM Layout,6,Unknown Society,3300,6,3,165
Super built-up Area,Ready to move,Electronics City Phase 1,2,Shitt S,1175,2,1,57
Built-up Area,Ready to move,Chikkalasandra,3,V2avei,1428,2,1,80
Plot Area,Ready to move,Akshaya Nagar,4,Unknown Society,750,4,2,62
Super built-up Area,Ready to move,Whitefield,4,Unknown Society,3252,4,3,280
Super built-up Area,Ready to move,Haralur Road,2,Unknown Society,1194,2,2,46
Plot Area,Ready to move,Old Town,8,Unknown Society,750,8,1,200
Super built-up Area,Ready to move,8th Phase JP Nagar,2,Unknown Society,1080,2,2,35
Super built-up Area,Ready to move,Vijaya Bank Layout,3,Unknown Society,1200,2,1,68
Plot Area,Ready to move,Whitefield,2,Unknown Society,1200,2,1,45
Plot Area,Ready to move,Okalipura,5,Unknown Society,1200,4,3,120
Built-up Area,Ready to move,Bommasandra Industrial Area,3,Unknown Society,1320,2,1,38
Super built-up Area,Ready to move,Badavala Nagar,3,DNncasa,1842,3,2,115
Super built-up Area,Ready to move,Sector 2 HSR Layout,2,NDpalSe,1146,2,3,55
Super built-up Area,Ready to move,Rachenahalli,1,AsNowre,440,1,1,28
Super built-up Area,Ready to move,Sahakara Nagar,2,KPhtsei,1048,2,3,50
Super built-up Area,Ready to move,Thanisandra,3,Soitya,1801,3,1,115
Super built-up Area,Ready to move,Hennur Road,2,Puachal,1232,2,1,69
Super built-up Area,Ready to move,Whitefield,2,Viisear,1150,2,2,90
Super built-up Area,Ready to move,Talaghattapura,3,Sodgere,1868,3,1,120
Super built-up Area,Ready to move,Begur,3,Arera V,1445,2,2,47
Super built-up Area,Ready to move,Hebbal Kempapura,3,Goateds,1466,2,3,140
Built-up Area,Ready to move,Harlur,3,Unknown Society,1730,3,2,100
Super built-up Area,Ready to move,JP Nagar,3,Pehtsa,3860,3,2,402
Super built-up Area,Ready to move,Somasundara Palya,2,ManceEl,1185,2,3,70
Built-up Area,Ready to move,Yeshwanthpur,3,Unknown Society,3027,4,3,260
Built-up Area,Ready to move,Whitefield,4,Unknown Society,2400,4,3,147
Built-up Area,Ready to move,Kaval Byrasandra,2,Unknown Society,1185,2,1,49
Super built-up Area,Ready to move,Hongasandra,2,Unknown Society,1150,2,2,49
Plot Area,Ready to move,Maruthi Extension,5,Unknown Society,2000,4,2,180
Plot Area,Ready to move,Vidyapeeta,6,Unknown Society,875,3,1,98
Super built-up Area,Ready to move,Pai Layout,2,Unknown Society,1075,2,2,35
Super built-up Area,Ready to move,Hebbal,3,Mahosya,1760,3,2,123
Super built-up Area,Ready to move,Banashankari,2,Unknown Society,1600,2,1,63
Plot Area,Ready to move,Madiwala,4,Unknown Society,910,4,1,140
Super built-up Area,Ready to move,Haralur Road,2,Ozensve,1000,2,1,78
Super built-up Area,Ready to move,7th Phase JP Nagar,2,BriumMi,1215,2,2,90
Super built-up Area,Ready to move,EPIP Zone,3,Ste 2al,1734,3,3,125
Super built-up Area,Ready to move,Akshaya Nagar,2,Unknown Society,1280,2,1,60
Super built-up Area,Ready to move,Rachenahalli,2,Paentta,1113,2,1,55
Super built-up Area,Ready to move,Horamavu Banaswadi,2,Unknown Society,1272,2,2,48
Built-up Area,Ready to move,Kereguddadahalli,3,Jaood G,1240,3,2,41
Built-up Area,Ready to move,Varthur,8,Unknown Society,704,8,3,92
Super built-up Area,Ready to move,Yelahanka,2,Unknown Society,1100,2,1,70
Super built-up Area,Ready to move,Ambalipura,2,Sisice,896,2,1,30
Super built-up Area,Ready to move,Rachenahalli,4,Unknown Society,3657,5,1,220
Super built-up Area,Ready to move,BTM 2nd Stage,2,Fea 3Al,1200,2,0,35
Built-up Area,Ready to move,Ramagondanahalli,4,Unknown Society,2800,4,3,155
Super built-up Area,Ready to move,Hebbal,4,Raard B,2790,4,3,198
Built-up Area,Ready to move,Ambalipura,3,AltesEs,3500,3,1,198
Built-up Area,Ready to move,Ramamurthy Nagar,3,Unknown Society,3600,3,2,150
Built-up Area,Ready to move,Sarjapur,2,Srncya,1500,2,2,30
Plot Area,Ready to move,Meenakshi Layout,8,Unknown Society,1200,7,0,220
Super built-up Area,Ready to move,S R Layout,2,Seasare,1096,2,2,48
Built-up Area,Ready to move,Cholanayakanahalli,2,Unknown Society,580,2,0,95
Super built-up Area,Ready to move,GD Layout,2,Unknown Society,1094,2,1,44
Super built-up Area,Ready to move,Vittal Nagar,2,Unknown Society,1100,2,2,49
Super built-up Area,Ready to move,Iblur Village,4,DNionfl,2725,5,0,191
Super built-up Area,Ready to move,Koramangala,4,Prood P,2503,6,2,325
Super built-up Area,Ready to move,Nagarbhavi,2,Unknown Society,1145,2,2,40
Super built-up Area,Ready to move,Rachenahalli,3,Sovar S,1550,3,2,74
Super built-up Area,Ready to move,Seegehalli,3,Paoliy,1830,4,2,82
Super built-up Area,Ready to move,Hoodi,3,Caycend,1746,3,3,84
Built-up Area,Ready to move,Maruthi Sevanagar,4,Unknown Society,1280,4,1,115
Super built-up Area,Ready to move,Kengeri,2,Unknown Society,918,2,1,27
Super built-up Area,Ready to move,Chandapura,1,SunceEs,645,1,1,16
Super built-up Area,Ready to move,Banashankari Stage III,3,Pridsi,1305,2,1,60
Super built-up Area,Ready to move,Thigalarapalya,2,SLavena,1207,2,2,62
Built-up Area,Ready to move,Thanisandra,3,Soitya,1678,3,2,125
Super built-up Area,Ready to move,Kaggalipura,2,Baowsig,950,2,1,50
Plot Area,Ready to move,Munnekollal,10,Unknown Society,1200,7,1,240
Super built-up Area,Ready to move,Electronic City,2,GMown E,1070,2,1,55
Super built-up Area,Ready to move,Ardendale,3,SoystAm,1732.46,3,2,92
Super built-up Area,Ready to move,Attibele,3,DSvar S,1639,2,1,40
Super built-up Area,Ready to move,Marathahalli,2,Prionad,1360,2,1,103
Plot Area,Ready to move,Malleshpalya,4,Unknown Society,2592,4,2,250
Plot Area,Ready to move,RMV 2nd Stage,3,Unknown Society,4470,3,1,700
Plot Area,Ready to move,Kithaganur,5,Unknown Society,720,4,3,62
Super built-up Area,Ready to move,Lakshminarayana Pura,3,RothaVa,1656,3,2,150
Super built-up Area,Ready to move,Sarjapur Road,2,Asira E,985,2,1,49
Super built-up Area,Ready to move,Dodda Nekkundi,3,Unknown Society,1999,3,2,135
Super built-up Area,Ready to move,7th Phase JP Nagar,2,Brnia G,1050,2,1,75
Super built-up Area,Ready to move,Whitefield,3,Unknown Society,1440,2,2,64
Super built-up Area,Ready to move,Basavangudi,3,Swers T,1600,2,2,160
Super built-up Area,Ready to move,Ramagondanahalli,2,ViistLa,1253,2,1,52
Plot Area,Ready to move,Shirdi Sai Nagar,3,Unknown Society,1200,3,0,85
Super built-up Area,Ready to move,Padmanabhanagar,3,Unknown Society,1360,2,3,75
Super built-up Area,Ready to move,Hagadur,2,Unknown Society,1086,2,1,47
Super built-up Area,Ready to move,Wilson Garden,3,Gonoril,1655,3,2,155
Plot Area,Ready to move,Old Madras Road,4,Unknown Society,2600,4,1,260
Super built-up Area,Ready to move,Sarjapur Road,2,Contsci,1418,2,2,78
Super built-up Area,Ready to move,Kalena Agrahara,2,PuamaPa,1270,2,2,100
Super built-up Area,Ready to move,Begur Road,3,Dhalsh,1410,2,3,52
Plot Area,Ready to move,Ramamurthy Nagar,2,Unknown Society,600,3,2,45
Built-up Area,Ready to move,Raghuvanahalli,3,Unknown Society,1440,3,2,65
Plot Area,Ready to move,J C Nagar,3,Unknown Society,1200,2,0,108
Super built-up Area,Ready to move,Sadduguntepalya,2,Jaanaa,1200,2,2,75
Super built-up Area,Ready to move,Begur Road,3,Dhalsh,1410,2,3,50
Plot Area,Ready to move,Chandapura,4,Cangse,1200,5,2,92
Plot Area,Ready to move,Jalahalli,3,Unknown Society,600,3,2,60
Built-up Area,Ready to move,Whitefield,1,Unknown Society,624,1,1,35
Super built-up Area,Ready to move,Electronic City,2,Pao 3ow,1060,2,1,58
Super built-up Area,Ready to move,Hebbal,4,Cehosy,3960,5,3,386
Plot Area,Ready to move,Whitefield,2,Unknown Society,1200,2,1,45
Plot Area,Ready to move,Vidyaranyapura,4,Unknown Society,1200,4,2,175
Built-up Area,Ready to move,Sarjapur,4,Unknown Society,1917,3,0,60
Super built-up Area,Ready to move,KR Puram,2,HovasTe,950,2,1,40
Plot Area,Ready to move,Channasandra,2,Unknown Society,3040,2,1,48
Super built-up Area,Ready to move,BTM 2nd Stage,3,Unknown Society,1250,3,1,50
Super built-up Area,Ready to move,Vishwapriya Layout,2,Sanumn,1235,2,2,60
Super built-up Area,Ready to move,Budigere,1,PrityTr,722,1,0,46
Plot Area,Ready to move,Kanakpura Road,4,ColeyNa,2775,3,1,165
Built-up Area,Ready to move,Sarjapur Road,2,Mades G,1200,2,1,93
Built-up Area,Ready to move,Bannerghatta Road,3,Unknown Society,1400,3,1,68
Built-up Area,Ready to move,Mallathahalli,3,Viers S,1225,3,3,60
Super built-up Area,Ready to move,Marathahalli,2,Unknown Society,1220,2,1,58
Super built-up Area,Ready to move,Nagavarapalya,1,PuonsSe,705,1,1,52
Super built-up Area,Ready to move,Battarahalli,3,PaontWa,1880,3,2,94
Plot Area,Ready to move,Yelahanka,2,Unknown Society,1200,2,1,70
Built-up Area,Ready to move,Doddakammanahalli,3,SrarkSk,1550,2,1,60
Super built-up Area,Ready to move,Lingadheeranahalli,3,Soiewre,1893,3,1,130
Super built-up Area,Ready to move,HMT Layout,3,LoentKr,1650,3,2,75
Built-up Area,Ready to move,Chikkathoguru,2,Srvasi,1113,2,2,46
